entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_return,entry_reason,exit_reason
2021-02-19 22:00:00,2021-02-19 22:45:00,short,5714.0,5712.0,3,0.00035001750087504374,追空,时间止损
2021-03-25 21:30:00,2021-03-25 22:15:00,long,5218.0,5241.0,3,0.004407819087773093,做多,时间止损
2021-11-10 21:45:00,2021-11-10 22:30:00,long,5083.0,5135.0,3,0.010230179028132993,做多,时间止损
